News,Source / Said By,stated_on,Via,Writter,Published on,Classification
Says Joe Biden is proposing a tax increase that’s “the largest in American history.”,Preserve America PAC,"October 1, 2020",a campaign ad:,Noah Y. Kim,"October 8, 2020",FALSE
"“You were going to cut schools, when you were going to cut teachers and educators in our schools.”",David Zuckerman,"September 29, 2020",a debate:,Colin Meyn,"October 8, 2020",TRUE
"Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.",TikTok posts,"October 1, 2020",a video:,Hayat Norimine,"October 8, 2020",half-true
An impersonator in a Joe Biden mask gave an interview as Joe Biden.,Viral image,"October 6, 2020",a Facebook post:,Ciara O'Rourke,"October 8, 2020",pants-fire
Says Sen. Gary Peters “downplayed the pandemic” and “failed to act.”,John James,"September 27, 2020",a televisi,Clara Hendrickson,"October 8, 2020",FALSE
"Eric Esshaki “would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.”",Haley Stevens,"September 29, 2020",a campaign ad:,Clara Hendrickson,"October 7, 2020",FALSE
"""Dems want to shut your churches down, permanently. Hope you see what is happening.""",Donald Trump,"October 7, 2020",a tweet:,Daniel Funke,"October 7, 2020",pants-fire
"“South Dakota, Idaho, Florida, Tennessee & Georgia are now mask FREE!”",Facebook posts,"September 27, 2020",a Facebook post:,Samantha Putterman,"October 7, 2020",FALSE
“Chris Christie is in ICU and reported to be put on a ventilator.”,Viral image,"October 7, 2020",a Facebook post:,Ciara O'Rourke,"October 7, 2020",FALSE
"“Hillsboro school district has already placed Antifa, BLM in their curriculum as Justice Fighters. Fourth grade.”",Facebook posts,"September 20, 2020",a Facebook post:,Ciara O'Rourke,"October 7, 2020",FALSE
“The Rock has lost 48 million followers on his IG and YouTube after coming out for Biden.”,Facebook posts,"October 2, 2020",a post,Madison Czopek,"October 7, 2020",FALSE
Hacked emails “revealed that Hillary Clinton & pals are involved in sex trafficking children.”,Facebook posts,"October 6, 2020",a Facebook post:,Ciara O'Rourke,"October 7, 2020",pants-fire
“Wisconsin Republicans have not passed a single bill in 6 months.”,Facebook posts,"October 4, 2020",a Facebook post:,Eric Litke,"October 7, 2020",TRUE
"Says Joe Biden said 14,000 people died from H1N1. “Fact checking it is 574,000.”",Facebook posts,"September 29, 2020",a Facebook post:,Noah Y. Kim,"October 7, 2020",pants-fire
Says Kamala Harris said there will be “a federal tax on your home for reparations.”,Facebook posts,"September 25, 2020",a Facebook post:,Tom Kertscher,"October 7, 2020",FALSE
“NYT is correcting their lies..Trump paid $1M in 2016 & $3.8M in 2017-18..THEY LIED..AGAIN. INFO ON TWITTER THIS AM.”,Facebook posts,"September 29, 2020",a Facebook post:,Monique Curet,"October 7, 2020",FALSE
"Says Donald Trump said, “The doctors said they’ve never seen a body kill the coronavirus like my body. They tested my DNA and it wasn’t DNA. It was USA.”",Viral image,"October 6, 2020",a Facebook post:,Ciara O'Rourke,"October 7, 2020",pants-fire
Says Chris Christie told Donald Trump to interrupt Joe Biden during the debate because “people who overcome stuttering have a harder time maintaining their train of thought when interrupted. Keep interrupting him and he’ll stumble when he tries to speak. This will enforce the ‘senile’ narrative.”,Facebook posts,"October 3, 2020",a Facebook post:,Ciara O'Rourke,"October 7, 2020",FALSE
"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",Donald Trump,"October 6, 2020",a tweet:,Jon Greenberg,"October 6, 2020",FALSE
“All Missouri’s high-risk areas have mask mandates in place.”,Mike Parson,"August 18, 2020",a press c,William Skipworth,"October 6, 2020",FALSE
"During the Obama/Biden administration “18,000 people got clemency.”",Joe Biden,"October 5, 2020",an NBC town hall,Amy Sherman,"October 6, 2020",FALSE
The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,Joe Biden,"October 5, 2020",an NBC town hall,Amy Sherman,"October 6, 2020",TRUE
"Says he ""fights for everyone with a preexisting condition.”",Matthew Rosendale,"September 22, 2020",a campaign ad:,Alex Sakariassen,"October 6, 2020",FALSE
"Says “John James opposes abortion, even refusing to make an exception when a woman’s life is at risk” and “wants to make it a felony even in cases of rape and incest.”",Gary Peters,"September 21, 2020",Gary Peters,Clara Hendrickson,"October 6, 2020",half-true
"Says Tommy Tuberville ""quit on his players"" all four times that he was a college football coach.",Doug Jones,"October 1, 2020",an ad:,Tom Kertscher,"October 6, 2020",half-true
“AARP endorses Biden and gives financial support to Planned Parenthood.”,Facebook posts,"September 28, 2020",a Facebook post:,Ciara O'Rourke,"October 6, 2020",FALSE
“I brought back Big Ten football.”,Donald Trump,"September 29, 2020",Debate:,Madeline Heim,"October 6, 2020",FALSE
“The leader of Proud Boys is the Florida state director of Latinos for Trump.”,Viral image,"October 2, 2020",a post,Madison Czopek,"October 6, 2020",half-true
Says Sri Kulkarni attended “notorious desert drug parties” and was arrested for cocaine.,Congressional Leadership Fund,"September 25, 2020",a campaign ad:,Noah Y. Kim,"October 6, 2020",half-true
“HOUSE PASSES BILL TO PAY U.N. TO RUN LOCAL POLICE BOARDS IN 46 U.S. CITIES.”,Facebook posts,"October 4, 2020",a Facebook post:,Ciara O'Rourke,"October 6, 2020",FALSE
“The government has released their initial plans to force a vaccine on everyone.”,Bloggers,"September 16, 2020",a Facebook post:,Ciara O'Rourke,"October 6, 2020",FALSE
Says Joe Biden “wants American farmers to put their farmland into Gvt ‘land banks.’ Gvt would then tell farmers what ‘sustainable’ plants they could grow.”,Facebook posts,"October 1, 2020",a text post:,Monique Curet,"October 6, 2020",half-true
“Bikers show up to The Walter Reed Hospital to pray for President Trump.”,Facebook posts,"October 3, 2020",a Facebook post:,Ciara O'Rourke,"October 5, 2020",FALSE
Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”,Sara Gideon,"September 16, 2020",an ad:,Tom Kertscher,"October 5, 2020",FALSE
"Says Joe Biden tweeted, “I have consulted with Instagram’s CEO to take the page @electionleaks down. They have supposedly ‘video proof’ of me using a hidden earpiece in tonight’s debate. This is slander, and not true.”",Instagram posts,"September 29, 2020",an Instagram post:,Ciara O'Rourke,"October 5, 2020",pants-fire
“President Trump is in great danger. Evidence is mounting that he’s being deliberately killed at Walter Reed Military Hospital.”,Alex Jones,"October 3, 2020",a Facebook post:,Ciara O'Rourke,"October 5, 2020",pants-fire
Nick Freitas “voted to let businesses discriminate and fire expecting mothers for no other reason but their pregnancy. ”,United Association’s Union Plumbers and Pipefitters Vote! PAC,"September 15, 2020",a TV ad.:,Warren Fiske,"October 5, 2020",TRUE
"Approving the constitutional amendment on Illinois' November ballot “would let the politicians immediately implement their plan to increase taxes on small businesses, farmers and large employers.”",Coalition to Stop the Proposed Tax Hike Amendment,"August 31, 2020",an ad:,Kiannah Sepeda-Miller,"October 4, 2020",half-true
"Says Donald Trump is not at Walter Reed National Military Medical Center, “he is on AF1.”",Facebook posts,"October 2, 2020",a series of images:,Daniel Funke,"October 4, 2020",pants-fire
Says Joe Biden stays in his basement.,Jason MIller,"October 4, 2020",comments,Aaron Sharockman,"October 4, 2020",FALSE
"“That 5% (wealth tax) starts at $159,000 per family.”",Phil Scott,"September 29, 2020",a debate:,Kit Norton,"October 4, 2020",TRUE
"Says Donald Trump boarded Marine One ""with a portable oxygen concentrator in his pocket with the nasal cannula going up his back, hidden in his hair and tucked under his mask.""",Facebook posts,"October 3, 2020",a series of images:,Daniel Funke,"October 4, 2020",FALSE
Says he “strongly supports legalization for Dreamers.”,John Cornyn,"September 12, 2020",an advertisement:,Brandon Mulder,"October 3, 2020",half-true
“Our governor proposed initially a 5% cut across the board of state government.”,David Zuckerman,"September 29, 2020",a debate:,Xander Landen,"October 2, 2020",FALSE
Photo shows Chris Wallace and Jeffrey Epstein on Epstein’s private island.,Viral image,"October 1, 2020",a Facebook post:,Ciara O'Rourke,"October 2, 2020",pants-fire
President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,Donald Trump,"September 29, 2020",the first 2020 presidential debate:,Jon Greenberg,"October 2, 2020",FALSE
“No prominent Democrats have had the virus but the list of Republicans goes on and on.”,DeAnna Lorraine,"October 2, 2020",a tweet:,Daniel Funke,"October 2, 2020",FALSE
“Biden and Obama allowed grown men in restrooms with little girls. Trump has rescued over 300 missing children from (pedophiles) and perverts.”,Facebook posts,"September 16, 2020",a Facebook post:,Madison Czopek,"October 2, 2020",FALSE
"Says Joe Biden “made it clear..No More Coal Fired Power Plants!! So, No More Coal!! Wake Up WV, PA,OH, KY”",Facebook posts,"September 29, 2020",a text post:,Hayat Norimine,"October 2, 2020",half-true
Gas prices during the Obama-Biden administration were $5.49 a gallon.,Viral image,"September 30, 2020",a post,Madison Czopek,"October 2, 2020",half-true
Two “Doomsday Planes” took flight because of President Donald Trump’s COVID-19 diagnosis.,Facebook posts,"October 2, 2020",a Facebook post:,Ciara O'Rourke,"October 2, 2020",FALSE
Says Donald Trump’s reelection campaign emailed supporters to “donate to help him recover from” COVID-19.,Tweets,"October 2, 2020",a screenshot:,Daniel Funke,"October 2, 2020",pants-fire
Joe Biden’s eyes were black during the debate because he was wearing Mojo Vision lenses.,Viral image,"September 30, 2020",a Facebook post:,Ciara O'Rourke,"October 2, 2020",pants-fire
An episode of “The Simpsons” showed Donald Trump in a coffin.,Facebook posts,"October 2, 2020",a Facebook post:,Miriam Valverde,"October 2, 2020",pants-fire
Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”,Joe Biden,"September 21, 2020",a speech:,Eric Litke,"October 2, 2020",half-true
"“If you just count all the deaths in the red states, we are number two in the world in deaths, just behind Brazil.”",Joe Biden,"September 21, 2020",a speech:,Madeline Heim,"October 1, 2020",TRUE
"Says Joe Biden “passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.”",Donald Trump,"September 29, 2020",the first 2020 presidential debate:,Bill McCarthy,"October 1, 2020",half-true
“There's 100 million people that have preexisting conditions.”,Joe Biden,"September 29, 2020",,Victoria Knight,"October 1, 2020",TRUE
"""Last week Joe Biden flashed the ‘white power’ sign. President Trump condemned white supremacists yesterday. Why hasn't Joe Biden?”",Donald Trump,"October 1, 2020",a tweet from @TrumpWarRoom:,Samantha Putterman,"October 1, 2020",pants-fire
“I don’t think there’s any doubt (Joe) Biden’s senile.”,Brit  Hume,"September 29, 2020",a Fox News,Miriam Valverde,"October 1, 2020",FALSE
Poll watchers in Philadelphia “were thrown out.”,Donald Trump,"September 29, 2020",a presidential debate:,Jessica Calefati,"October 1, 2020",FALSE
“Suburbs are by and large integrated.”,Joe Biden,"September 29, 2020",the first presidential debate:,Louis Jacobson,"October 1, 2020",half-true
"Before the coronavirus pandemic, the United States had “the greatest economy in the history of our country.”",Donald Trump,"September 29, 2020",the first presidential debate:,Louis Jacobson,"October 1, 2020",FALSE
"“For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment.”",Donald Trump,"September 24, 2020",an executive order:,Julie Appleby,"October 1, 2020",TRUE
"“9,871,525 is the number of registered voters in AZ according to FB. AZ population is 7,270,000.”",Facebook posts,"September 23, 2020",a Facebook post:,Samantha Putterman,"October 1, 2020",FALSE
“A federal judge just ordered Wisconsin must have all ballots counted by 8 p.m. on the day of the election.”,Facebook posts,"September 28, 2020",Facebook post:,Laura Schulte,"September 30, 2020",pants-fire
"President Donald Trump’s tax returns show “what any wealthy person's tax history is, if you can believe it — which is good years and bad years, years of immense taxes and years of almost no taxes at all because you carry over losses.”",Hugh Hewitt,"September 28, 2020",a radio show:,Bill McCarthy,"September 30, 2020",FALSE
"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",Donald Trump,"September 29, 2020",the first presidential debate:,Louis Jacobson,"September 30, 2020",FALSE
"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",Donald Trump,"September 29, 2020",the first 2020 presidential debate:,Jon Greenberg,"September 30, 2020",FALSE
"“Amy Coney Barrett has said that a woman should not be able to own property, buy or sell without the permission of her husband or a male relative.”",Facebook posts,"September 26, 2020",a Facebook post:,Tom Kertscher,"September 30, 2020",FALSE
"Says Miami-Dade Mayor Carlos Gimenez “approved a 67% pay raise for himself and increased his own pension. He makes $250,000 a year, more than almost every big-city Mayor in the country. He also kept his taxpayer-funded Mercedes-Benz after slashing $400 million in government jobs and spending.”",Debbie Mucarsel-Powell,"September 17, 2020",a campaign website:,Amy Sherman,"September 30, 2020",half-true
“BLM Activist kills three people in a Louisville bar wearing a Breonna Taylor tee shirt last Friday.”,Peggy Hubbard,"September 21, 2020",a Facebook post:,Monique Curet,"September 30, 2020",FALSE
Photo shows “all the men who have killed police officers this year (2020).”,Viral image,"September 16, 2020",a Facebook post:,Ciara O'Rourke,"September 30, 2020",FALSE
Says Joe Biden was “wearing a wire” during the first presidential debate.,Facebook posts,"September 29, 2020",a video:,Daniel Funke,"September 30, 2020",pants-fire
“We have a higher deficit with China now than we did before.”,Joe Biden,"September 29, 2020",the first presidential debate:,Louis Jacobson,"September 30, 2020",FALSE
"""You said you went to Delaware State but you forgot the name of your college.""",Donald Trump,"September 29, 2020",First presidential debate:,Noah Y. Kim,"September 29, 2020",FALSE
“Word on the street is that Joe Biden got tonight’s debate questions in advance.”,Todd Starnes,"September 29, 2020",a tweet:,Jon Greenberg,"September 29, 2020",pants-fire
Says Joe Biden has a medical device implanted in his skull so he can hear someone give him answers to questions.,Facebook posts,"September 28, 2020",a Facebook post:,Miriam Valverde,"September 29, 2020",pants-fire
"Ranked-choice voting “increases voter turnout and voter engagement.""",Kelley Dragoo,"August 27, 2020",a YouTube video:,Noah Crider,"September 29, 2020",FALSE
"""Cori Bush is a career criminal and a con artist.”",Anthony Rogers,"September 15, 2020",a Facebook post:,Veronica Mohesky,"September 29, 2020",FALSE
A photo shows Dwayne “The Rock” Johnson on Epstein Island.,Viral image,"September 27, 2020",a Facebook post:,Ciara O'Rourke,"September 29, 2020",pants-fire
“Bad math (is) driving Wisconsin’s exploding positive test rate.”,MacIver Institute,"September 23, 2020",an,Eric Litke,"September 29, 2020",pants-fire
“Don’t buy the new Pepsi can coming out with pics of the Empire State building and the Pledge of Allegiance on them. Pepsi left out 2 little words in the pledge ‘Under God.’”,Facebook posts,"September 23, 2020",a Facebook post:,Madison Czopek,"September 29, 2020",FALSE
Says Merrick Garland is investigating Donald Trump’s “tax evasion case.”,Facebook posts,"September 29, 2020",a Facebook post:,Ciara O'Rourke,"September 29, 2020",FALSE
"The typical elementary school teacher pays $7,239 in federal income taxes, and firefighters pay $5,328, while Donald Trump paid $750.",Joe Biden,"September 27, 2020",a campaign ad:,Noah Y. Kim,"September 29, 2020",half-true
"""I proudly voted for Hillary Clinton.""",Molly Gray,"September 24, 2020",a candidate debate:,Colin Meyn,"September 29, 2020",FALSE
"Says over 1,000 mail in ballots were found in a dumpster in California.",Facebook posts,"September 26, 2020",a Facebook post:,Samantha Putterman,"September 28, 2020",FALSE
Says Jared Kushner “deleted all of his tweets after the tax story broke.”,Facebook posts,"September 27, 2020","September 27, 2020",Madison Czopek,"September 28, 2020",FALSE
A letter from Mississippi Gov. Tate Reeves says that at “the beginning of October 2020 the statewide mask requirements will be abolished.”,Viral image,"September 26, 2020",a Facebook post:,Ciara O'Rourke,"September 28, 2020",FALSE
"In 2017, Joe Biden paid $3,742,974 in federal income taxes and Kamala Harris paid $516,469 while Donald Trump paid $750.",Viral image,"September 27, 2020",a Facebook post:,Ciara O'Rourke,"September 28, 2020",TRUE
"Says Cal Cunningham “got a $40,000 tax incentive to update his butler’s pantry.”",Thom Tillis,"September 14, 2020",a debate:,Paul Specht,"September 28, 2020",half-true
"Says under U.S. Rep. Alexandria Ocasio-Cortez’s Green New Deal proposal, “Cows are out.”",Donald Trump,"September 17, 2020",Speech:,Laura Schulte,"September 28, 2020",FALSE
"Says Amy Coney Barrett “has a written track record, disagreeing adamantly with the Supreme Court’s decision to uphold the ACA. In fact, she publicly criticized Chief Justice Roberts’ opinion upholding the law eight years ago.”",Joe Biden,"September 27, 2020",a speech:,Angie Drobnic Holan,"September 28, 2020",TRUE
Says House candidate Jon Hoadley voted to defund the police,Fred Upton,"September 8, 2020",a campaign ad:,Clara Hendrickson,"September 28, 2020",FALSE
Says Joe Biden “disrespects servicemen” in telling them to “clap for that you stupid bastards.”,Instagram posts,"September 26, 2020",an Instagram post:,Samantha Putterman,"September 28, 2020",half-true
"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",Republican Party of Wisconsin,"September 17, 2020",Campaign mailer:,D.L. Davis,"September 27, 2020",FALSE
"""We have a worse economy than any other country in the world that's going through COVID-19 by a factor of three.""",Richard Durbin,"August 23, 2020",a radio,Deborah Wilber,"September 27, 2020",FALSE
"Like Al-Qaeda and ISIS, Amy Coney Barrett has said her “end goal is to end the separation of church and state & build a ‘Kingdom of God’ in the United States.”",Instagram posts,"September 22, 2020",an Instagram post:,Angie Drobnic Holan,"September 27, 2020",FALSE
Says President Trump tweeted that it’s “not fair for a president to leave office because of BAD votes!” and that the Supreme Court “should decide the presidency at every election.”,Facebook posts,"September 23, 2020",a Facebook post:,Samantha Putterman,"September 27, 2020",FALSE
"A graphic on U.S. abortion rates shows larger declines during recent Democratic presidential administrations, and says its due to the party’s approach of making abortions unnecessary, rather than the Republican Party’s approach of making the procedure illegal.",Facebook posts,"September 14, 2020",a Facebook post:,Samantha Putterman,"September 25, 2020",half-true
Kamala Harris “has not formally taken questions from the press a single time” since she was announced as Joe Biden’s vice presidential pick.,Dinesh D'Souza,"September 23, 2020",an Instagram post:,Bill McCarthy,"September 25, 2020",FALSE
"Quotes Donald Trump as saying, “I’ll tell you the funniest thing. I’ll go backstage before a Miss Teen USA show, and everyone’s getting dressed and ready and everything and no men are anywhere. … You know, I’m inspecting. The girls (14-16) are standing there with no clothes on.”",Viral image,"September 21, 2020",a post,Madison Czopek,"September 25, 2020",FALSE
"“Biden said today, if he loses, his people will keep burning, looting and killing.”",Facebook posts,"August 31, 2020",a Facebook post:,Ciara O'Rourke,"September 25, 2020",FALSE
“Prop 15 will impose massive property tax increases on Solar in California.”,No on Prop 15,"September 16, 2020",a campaign ad:,Chris Nichols,"September 25, 2020",FALSE
“James is the only Senate candidate in a battleground state who has refused to take a position” on whether the Senate should promptly vote on Trump’s Supreme Court nominee,Michigan Democratic Party,"September 24, 2020",an email:,Clara Hendrickson,"September 25, 2020",TRUE
Says Judge Amy Coney Barrett said that “gays have a right to be discriminated against because they are against God’s wishes” and that “white people are God’s chosen ones.”,Facebook posts,"September 22, 2020",a Facebook post:,Noah Y. Kim,"September 25, 2020",FALSE
"Says Sara Gideon ""voted to defund"" the Freeport police ""and gave the money to a nonprofit she helped run.""",Susan Collins,"September 14, 2020",an ad:,Tom Kertscher,"September 25, 2020",FALSE
"“Coroner saying George Floyd died of drug overdose, not police brutality.”",Bloggers,"August 27, 2020",a Facebook post:,Ciara O'Rourke,"September 25, 2020",FALSE
“In the last 10 years less than half of adults in the U.S. received a flu shot.”,Michael Burgess,"September 19, 2020",a tweet:,Madlin Mekelburg,"September 25, 2020",TRUE
"Says Kentucky Attorney General Daniel Cameron “married his mentor Mitch McConnell's granddaughter.""",Facebook posts,"September 23, 2020",a post,Madison Czopek,"September 25, 2020",FALSE
“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,Chris Larson,"September 23, 2020",a tweet:,Eric Litke,"September 25, 2020",TRUE
"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",Donald Trump,"September 22, 2020",a speech:,Jessica Calefati,"September 25, 2020",FALSE
"A U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky., and is linked to “a George Soros-funded initiative.”",Facebook posts,"September 23, 2020",a series of images:,Daniel Funke,"September 24, 2020",FALSE
Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,Donald Trump,"September 16, 2020",a campaign ad:,Miriam Valverde,"September 24, 2020",FALSE
"""When California faced a budget crisis,"" Christy Smith ""voted to lay off teachers and then voted to increase her pay.""",Congressional Leadership Fund,"September 9, 2020",an ad:,Tom Kertscher,"September 24, 2020",FALSE
“Only one” Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program,Kamala Harris,"September 22, 2020",a TV,Clara Hendrickson,"September 24, 2020",FALSE
Says “John James supported Betsy DeVos’ agenda to cut public school funding and put it into wealthy private schools instead.”,Senate Majority PAC,"September 4, 2020",a Facebook ad:,Clara Hendrickson,"September 24, 2020",FALSE
"Says Donald Trump is “the worst jobs president in recorded history.""",Joe Biden,"September 18, 2020",a video,Louis Jacobson,"September 24, 2020",half-true
Says Thom Tillis has been “blocking his own party’s efforts to reduce the cost of prescription drugs.”,Cal Cunningham,"September 14, 2020",a debate:,Paul Specht,"September 24, 2020",half-true
Photo shows Dianne Feinstein “bullying” Lisa Murkowski over “the now empty seat of the late Justice Ruth Bader Ginsburg.”,Bloggers,"September 21, 2020",a blog post:,Ciara O'Rourke,"September 23, 2020",FALSE
Quotes Sen. Mitt Romney as saying: “The Merrick Garland decision wasn’t unfair & the notion that someone has to pay the price to make up for it is wrong.”,Instagram posts,"September 22, 2020",an image:,Daniel Funke,"September 23, 2020",half-true
"Quotes Ronald Reagan as saying, “Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.”",Viral image,"July 30, 2020",a Facebook post:,Madison Czopek,"September 23, 2020",FALSE
“Guess who is the marketing CEO of Zoom? Pelosi’s daughter/Newsome’s cousin.”,Viral image,"September 19, 2020",a Facebook post:,Ciara O'Rourke,"September 23, 2020",FALSE
Says Facebook “is banning Trump from advertising for president.”,Facebook posts,"September 1, 2020",a Facebook post:,Ciara O'Rourke,"September 23, 2020",FALSE
"""Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???""",Facebook posts,"July 17, 2020",a Facebook post:,Noah Y. Kim,"September 23, 2020",FALSE
"A clip of Joe Biden shows him reading a response to an interview question from a teleprompter, saying “I lost that line.”",Instagram posts,"September 22, 2020",an Instagram post:,Samantha Putterman,"September 23, 2020",pants-fire
“24 of every 100 kids in school today speak Spanish.”,Joe Biden,"September 15, 2020",a speech at a Florida event:,Amy Sherman,"September 23, 2020",half-true
Photos show children in cages.,Viral image,"June 25, 2020",a Facebook post:,Ciara O'Rourke,"September 23, 2020",FALSE
Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,Donald Trump,"September 17, 2020",a tweet:,Paul Specht,"September 22, 2020",FALSE
“Joe Biden completely botches the Pledge of Allegiance.”,Tweets,"September 21, 2020",a tweet:,Ciara O'Rourke,"September 22, 2020",FALSE
On whether to nominate and confirm a Supreme Court justice in a presidential election year,Tammy Baldwin,"September 19, 2020",a statement:,Eric Litke,"September 22, 2020",full-flop
On whether to nominate and confirm a Supreme Court justice in a presidential election year,Ron Johnson,"September 19, 2020",,Eric Litke,"September 22, 2020",full-flop
"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",William Barr,"September 16, 2020",a speech at a Hillsdale College event:,Jon Greenberg,"September 22, 2020",FALSE
“Facebook is creating these #firstborn and #secondborn challenges so the IRS can confirm who y’all claiming on them taxes as dependents.”,Facebook posts,"September 17, 2020",a Facebook post:,Ciara O'Rourke,"September 22, 2020",FALSE
Says “Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.”,Facebook posts,"September 19, 2020",a Facebook post:,Samantha Putterman,"September 22, 2020",FALSE
“82% of Americans...would experience a tax increase if Biden were elected.”,Bob Good,"September 9, 2020",a debate.:,Warren Fiske,"September 22, 2020",FALSE
"“We indicted someone in Texas, 1,700 ballots collected from people who could vote, he made them out and voted for the person he wanted to.”",William Barr,"September 2, 2020",a CNN,Ciara O'Rourke,"September 22, 2020",FALSE
Photo shows Jacob Blake’s “14-year-old rape victim.”,Viral image,"September 17, 2020",a Facebook post:,Ciara O'Rourke,"September 22, 2020",FALSE
“The Trump campaign asked that I release the list (of potential Supreme Court nominees) only after (Ruth Bader Ginsburg) passed away.”,Joe Biden,"September 20, 2020",a speech:,Bill McCarthy,"September 22, 2020",FALSE
On confirming a Supreme Court nominee in a presidential election year.,Mitch McConnell,"September 18, 2020",a statement:,Louis Jacobson,"September 22, 2020",full-flop
On confirming a Supreme Court nominee in a presidential election year.,Charles Schumer,"September 18, 2020",a tweet:,Miriam Valverde,"September 22, 2020",full-flop
"Says Sarah Jeong said, ""We need a castration lottery for white men. Every month we pull a birthday, sort the excess and snip some sacks, preferably in a big public gathering.""",Brian Kolfage,"September 20, 2020",a Facebook post:,Noah Y. Kim,"September 22, 2020",FALSE
A Time magazine cover shows Donald Trump looking at a child in a cage.,Viral image,"September 20, 2020",a Facebook post:,Ciara O'Rourke,"September 21, 2020",FALSE
The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.,Facebook posts,"September 20, 2020",a Facebook post:,Samantha Putterman,"September 21, 2020",FALSE
A Time magazine cover calls Donald Trump the “Worst. President. Ever.”,Viral image,"September 18, 2020",a Facebook post:,Ciara O'Rourke,"September 21, 2020",pants-fire
